x	sinc	spline	lagrange
-10.000000	0.000000	0.000000	0.000000
-9.800000	0.000000	0.000152	1.161538
-9.600000	0.000000	0.000294	1.722077
-9.400000	0.000000	0.000418	1.873628
-9.200000	0.000000	0.000515	1.763447
-9.000000	0.000000	0.000574	1.501968
-8.800000	0.000000	0.000588	1.169668
-8.600000	0.000000	0.000547	0.822963
-8.400000	0.000000	0.000441	0.499236
-8.200000	0.000000	0.000262	0.221106
-8.000000	0.000000	0.000000	0.000000
-7.800000	0.000000	-0.000345	-0.160876
-7.600000	0.000000	-0.000735	-0.264096
-7.400000	0.000000	-0.001126	-0.316041
-7.200000	0.000000	-0.001471	-0.325334
-7.000000	0.000000	-0.001723	-0.301612
-6.800000	0.000000	-0.001838	-0.254612
-6.600000	0.000000	-0.001769	-0.193496
-6.400000	0.000000	-0.001471	-0.126391
-6.200000	0.000000	-0.000896	-0.060110
-6.000000	0.000000	0.000000	0.000000
-5.800000	0.000000	0.001227	0.050081
-5.600000	0.000000	0.002648	0.087715
-5.400000	0.000000	0.004089	0.111800
-5.200000	0.000001	0.005376	0.122388
-5.000000	0.000001	0.006336	0.120491
-4.800000	0.000004	0.006794	0.107872
-4.600000	0.000010	0.006576	0.086833
-4.400000	0.000025	0.005510	0.060014
-4.200000	0.000059	0.003420	0.030196
-4.000000	0.000134	0.000134	0.000134
-3.800000	0.000292	-0.004333	-0.027596
-3.600000	0.000612	-0.009199	-0.050718
-3.400000	0.001232	-0.013494	-0.067347
-3.200000	0.002384	-0.016247	-0.076066
-3.000000	0.004432	-0.016487	-0.075957
-2.800000	0.007915	-0.013243	-0.066620
-2.600000	0.013583	-0.005544	-0.048163
-2.400000	0.022395	0.007581	-0.021173
-2.200000	0.035475	0.027102	0.013338
-2.000000	0.053991	0.053991	0.053991
-1.800000	0.078950	0.088676	0.099120
-1.600000	0.110921	0.129413	0.146853
-1.400000	0.149727	0.173918	0.195201
-1.200000	0.194186	0.219905	0.242150
-1.000000	0.241971	0.265087	0.285745
-0.800000	0.289692	0.307180	0.324176
-0.600000	0.333225	0.343897	0.355849
-0.400000	0.368270	0.372954	0.379455
-0.200000	0.391043	0.392064	0.394020
0.000000	0.398942	0.398942	0.398942
0.200000	0.391043	0.392064	0.394020
0.400000	0.368270	0.372954	0.379455
0.600000	0.333225	0.343897	0.355849
0.800000	0.289692	0.307180	0.324176
1.000000	0.241971	0.265087	0.285745
1.200000	0.194186	0.219905	0.242150
1.400000	0.149727	0.173918	0.195201
1.600000	0.110921	0.129413	0.146853
1.800000	0.078950	0.088676	0.099120
2.000000	0.053991	0.053991	0.053991
2.200000	0.035475	0.027102	0.013338
2.400000	0.022395	0.007581	-0.021173
2.600000	0.013583	-0.005544	-0.048163
2.800000	0.007915	-0.013243	-0.066620
3.000000	0.004432	-0.016487	-0.075957
3.200000	0.002384	-0.016247	-0.076066
3.400000	0.001232	-0.013494	-0.067347
3.600000	0.000612	-0.009199	-0.050718
3.800000	0.000292	-0.004333	-0.027596
4.000000	0.000134	0.000134	0.000134
4.200000	0.000059	0.003420	0.030196
4.400000	0.000025	0.005510	0.060014
4.600000	0.000010	0.006576	0.086833
4.800000	0.000004	0.006794	0.107872
5.000000	0.000001	0.006336	0.120491
5.200000	0.000001	0.005376	0.122388
5.400000	0.000000	0.004089	0.111800
5.600000	0.000000	0.002648	0.087715
5.800000	0.000000	0.001227	0.050081
6.000000	0.000000	0.000000	0.000000
6.200000	0.000000	-0.000896	-0.060110
6.400000	0.000000	-0.001471	-0.126391
6.600000	0.000000	-0.001769	-0.193496
6.800000	0.000000	-0.001838	-0.254612
7.000000	0.000000	-0.001723	-0.301612
7.200000	0.000000	-0.001471	-0.325334
7.400000	0.000000	-0.001126	-0.316041
7.600000	0.000000	-0.000735	-0.264096
7.800000	0.000000	-0.000345	-0.160876
8.000000	0.000000	0.000000	0.000000
8.200000	0.000000	0.000262	0.221106
8.400000	0.000000	0.000441	0.499236
8.600000	0.000000	0.000547	0.822963
8.800000	0.000000	0.000588	1.169668
9.000000	0.000000	0.000574	1.501968
9.200000	0.000000	0.000515	1.763447
9.400000	0.000000	0.000418	1.873628
9.600000	0.000000	0.000294	1.722077
9.800000	0.000000	0.000152	1.161538
10.000000	0.000000	-0.000000	0.000000
